cases.0.project.project_id	cases.0.samples.0.tissue_type	file_id	id
TCGA-HNSC	Normal	6adeb3ef-4d4d-4e3f-945e-c4e39fad122d	6adeb3ef-4d4d-4e3f-945e-c4e39fad122d
TCGA-HNSC	Tumor	7ed2198a-102d-42e2-8cf0-d8dfbdf34632	7ed2198a-102d-42e2-8cf0-d8dfbdf34632
TCGA-HNSC	Tumor	3a10dcbd-6ac1-4649-b06b-662dfa4e98c2	3a10dcbd-6ac1-4649-b06b-662dfa4e98c2
TCGA-HNSC	Tumor	b7670594-879a-44eb-b877-2439ec0f4511	b7670594-879a-44eb-b877-2439ec0f4511
TCGA-HNSC	Tumor	34738236-8107-4968-a889-5a3628d82ebc	34738236-8107-4968-a889-5a3628d82ebc
TCGA-HNSC	Tumor	aea89671-83a4-47b7-a924-07e23f3019e9	aea89671-83a4-47b7-a924-07e23f3019e9
TCGA-HNSC	Tumor	6a8370d5-8873-4f35-b6b5-31869f58a736	6a8370d5-8873-4f35-b6b5-31869f58a736
TCGA-HNSC	Tumor	4a4b8437-d003-4149-9770-fa8365eb3430	4a4b8437-d003-4149-9770-fa8365eb3430
TCGA-HNSC	Normal	c10a8f09-e01d-4321-a0d8-a909418fb8e3	c10a8f09-e01d-4321-a0d8-a909418fb8e3
TCGA-HNSC	Tumor	1878cff8-f627-4ea6-bf0e-13161fcd4564	1878cff8-f627-4ea6-bf0e-13161fcd4564
TCGA-HNSC	Tumor	14414c7f-a1b2-4c72-b975-9102ca7617e9	14414c7f-a1b2-4c72-b975-9102ca7617e9
TCGA-HNSC	Tumor	130c3d03-9b15-4577-bff2-f9e3cf8cda29	130c3d03-9b15-4577-bff2-f9e3cf8cda29
TCGA-HNSC	Tumor	12356fb5-98f2-461e-b590-6bde94eac461	12356fb5-98f2-461e-b590-6bde94eac461
TCGA-HNSC	Tumor	cd81e297-982d-4664-8083-25ec4424a939	cd81e297-982d-4664-8083-25ec4424a939
TCGA-HNSC	Tumor	044de6e3-52f7-493c-b8d2-6aeca52375ea	044de6e3-52f7-493c-b8d2-6aeca52375ea
TCGA-HNSC	Tumor	ddb1a596-2fce-466b-8b84-a92684527855	ddb1a596-2fce-466b-8b84-a92684527855
TCGA-HNSC	Tumor	a95ddac7-9b25-4bd5-912a-9fa6c537b10b	a95ddac7-9b25-4bd5-912a-9fa6c537b10b
TCGA-HNSC	Tumor	74b85e44-faa6-4eae-97bc-76d64c49b4d8	74b85e44-faa6-4eae-97bc-76d64c49b4d8
TCGA-KICH	Tumor	8dd0ae16-c0b1-4850-8d9b-4c3f2d4cef57	8dd0ae16-c0b1-4850-8d9b-4c3f2d4cef57
TCGA-HNSC	Tumor	c778256b-62cc-4642-886f-f2950526f374	c778256b-62cc-4642-886f-f2950526f374
TCGA-KICH	Tumor	44f86a07-70a2-4693-a1a3-99e349a04284	44f86a07-70a2-4693-a1a3-99e349a04284
TCGA-HNSC	Tumor	4c1a19bb-cfee-4556-9445-adfccd73c738	4c1a19bb-cfee-4556-9445-adfccd73c738
TCGA-HNSC	Tumor	a162c257-2c4e-479a-bdff-1361ffc1a7fd	a162c257-2c4e-479a-bdff-1361ffc1a7fd
TCGA-HNSC	Tumor	46c9dffc-f049-4f48-a431-c9a77ac6ec63	46c9dffc-f049-4f48-a431-c9a77ac6ec63
TCGA-KICH	Tumor	90516825-8270-4a23-8243-97f914b35be2	90516825-8270-4a23-8243-97f914b35be2
TCGA-HNSC	Tumor	4dc4c39e-b7aa-4575-90b7-e82d0d722761	4dc4c39e-b7aa-4575-90b7-e82d0d722761
TCGA-HNSC	Tumor	7ccb0411-d6a2-434e-847e-b4d65f2b1142	7ccb0411-d6a2-434e-847e-b4d65f2b1142
TCGA-HNSC	Tumor	e0cab7b0-d7c8-4f47-950f-ede1ed50e797	e0cab7b0-d7c8-4f47-950f-ede1ed50e797
TCGA-HNSC	Tumor	09503611-2e57-46e8-912c-0542e50c6ac8	09503611-2e57-46e8-912c-0542e50c6ac8
TCGA-HNSC	Tumor	09e82288-aaa9-43c7-81ec-d1f98e18a798	09e82288-aaa9-43c7-81ec-d1f98e18a798
TCGA-HNSC	Tumor	e97dd616-e947-47ed-853f-72ee93272b15	e97dd616-e947-47ed-853f-72ee93272b15
TCGA-HNSC	Tumor	380b9900-16c1-4456-80b4-87faf8567fae	380b9900-16c1-4456-80b4-87faf8567fae
TCGA-HNSC	Tumor	35fd23d8-0dba-4a74-8c5a-cbebfc7e460e	35fd23d8-0dba-4a74-8c5a-cbebfc7e460e
TCGA-HNSC	Tumor	209f8ebc-42f0-4695-b9f1-d9dc30d0e0b7	209f8ebc-42f0-4695-b9f1-d9dc30d0e0b7
TCGA-LGG	Tumor	890599ec-249a-4ba6-93fa-6935b7a76d39	890599ec-249a-4ba6-93fa-6935b7a76d39
TCGA-LGG	Tumor	cba8e68c-f4bb-441d-8df3-68bae3f78aaa	cba8e68c-f4bb-441d-8df3-68bae3f78aaa
TCGA-LGG	Tumor	2a435688-85fd-41e6-989b-bcca5fe4c6f1	2a435688-85fd-41e6-989b-bcca5fe4c6f1
TCGA-LGG	Tumor	02c69ef2-120a-40df-9f8a-b1429e89b675	02c69ef2-120a-40df-9f8a-b1429e89b675
